ticker,name,sector,industry,market
VLTO,VLTO,N/A,N/A,S&P500
VMC,VMC,N/A,N/A,S&P500
VRSK,VRSK,N/A,N/A,S&P500
VRSN,VRSN,N/A,N/A,S&P500
VRTX,VRTX,N/A,N/A,S&P500
VST,VST,N/A,N/A,S&P500
VTR,VTR,N/A,N/A,S&P500
VTRS,VTRS,N/A,N/A,S&P500
VZ,VZ,N/A,N/A,S&P500
WAB,WAB,N/A,N/A,S&P500
WAT,WAT,N/A,N/A,S&P500
WBA,WBA,N/A,N/A,S&P500
WBD,WBD,N/A,N/A,S&P500
WDC,WDC,N/A,N/A,S&P500
WEC,WEC,N/A,N/A,S&P500
WELL,WELL,N/A,N/A,S&P500
WFC,WFC,N/A,N/A,S&P500
WM,WM,N/A,N/A,S&P500
WMB,WMB,N/A,N/A,S&P500
WMT,WMT,N/A,N/A,S&P500
WRB,WRB,N/A,N/A,S&P500
WST,WST,N/A,N/A,S&P500
WTW,WTW,N/A,N/A,S&P500
WY,WY,N/A,N/A,S&P500
WYNN,WYNN,N/A,N/A,S&P500
XEL,XEL,N/A,N/A,S&P500
XOM,XOM,N/A,N/A,S&P500
XYL,XYL,N/A,N/A,S&P500
YUM,YUM,N/A,N/A,S&P500
ZBH,ZBH,N/A,N/A,S&P500
ZBRA,ZBRA,N/A,N/A,S&P500
ZTS,ZTS,N/A,N/A,S&P500
