ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
JPM,74.11,0.38,0.87,2707.97,10,0,0,Neutral,65,Institutional Support
K,87.64,0.51,3.54,343.08,10,0,0,Neutral,65,Institutional Support
KDP,93.91,4.96,3.39,1210.05,10,0,0,Neutral,65,Institutional Support
KEY,91.87,0.28,2.59,1088.67,10,0,0,Neutral,70,Strong Institutional Support
KEYS,92.6,0.58,2.27,170.67,10,0,0,Neutral,70,Strong Institutional Support
KHC,60.5,27.85,6.64,852.36,10,0,0,Neutral,60,Institutional Support
KIM,98.83,2.15,4.77,661.16,10,0,0,Neutral,65,Institutional Support
KKR,62.43,23.59,1.75,684.49,10,0,0,Neutral,65,Institutional Support
KLAC,94.52,0.1,3.04,131.08,10,0,0,Neutral,65,Institutional Support
KMB,84.1,0.66,7.84,330.71,10,0,0,Neutral,65,Institutional Support
KMI,68.96,12.78,2.02,1938.46,10,0,0,Neutral,65,Institutional Support
KMX,107.93,0.44,10.65,140.92,10,0,0,Neutral,55,Institutional Support
KO,66.07,9.89,0.88,3872.82,10,0,0,Neutral,65,Institutional Support
KR,81.58,8.78,5.72,739.99,10,0,0,Neutral,65,Institutional Support
KVUE,99.06,0.04,3.65,1892.53,10,0,0,Neutral,65,Institutional Support
L,60.53,18.93,1.64,169.5,10,0,0,Neutral,65,Institutional Support
LDOS,80.81,0.55,2.35,126.92,10,0,0,Neutral,70,Strong Institutional Support
LEN,96.37,5.1,7.22,218.09,10,0,0,Neutral,65,Institutional Support
LH,97.86,0.32,4.95,82.53,10,0,0,Neutral,65,Institutional Support
LHX,89.64,0.34,1.63,186.25,10,0,0,Neutral,70,Strong Institutional Support
LIN,87.59,0.24,1.81,465.28,10,0,0,Neutral,70,Strong Institutional Support
LKQ,106.23,0.46,6.09,254.18,10,0,0,Neutral,65,Institutional Support
LLY,83.18,0.16,0.82,893.13,10,0,0,Neutral,70,Strong Institutional Support
LMT,74.71,0.08,1.49,196.84,10,0,0,Neutral,65,Institutional Support
LNT,87.95,0.23,8.75,256.34,10,0,0,Neutral,65,Institutional Support
LOW,80.01,0.11,2.02,559.78,10,0,0,Neutral,70,Strong Institutional Support
LRCX,88.46,0.28,2.92,1251.17,10,0,0,Neutral,70,Strong Institutional Support
LULU,81.08,4.61,8.89,107.78,10,0,0,Neutral,65,Institutional Support
LUV,101.25,1.18,5.76,459.81,10,0,0,Neutral,65,Institutional Support
LVS,42.45,56.96,3.11,321.28,10,0,0,Neutral,50,Neutral
LW,93.24,2.51,3.48,137.94,10,0,0,Neutral,65,Institutional Support
LYB,71.84,20.48,6.42,255.84,10,0,0,Neutral,60,Institutional Support
LYV,83.71,32.67,12.01,156.2,10,0,0,Neutral,55,Institutional Support
MA,90.8,0.51,0.77,890.12,10,0,0,Neutral,70,Strong Institutional Support
MAA,99.01,0.67,3.8,115.98,10,0,0,Neutral,65,Institutional Support
MAR,65.65,18.02,3.38,234.32,10,0,0,Neutral,60,Institutional Support
MAS,99.91,0.21,4.53,206.9,10,0,0,Neutral,65,Institutional Support
MCD,75.06,0.22,1.16,711.06,10,0,0,Neutral,65,Institutional Support
MCHP,98.6,2.11,5.29,528.79,10,0,0,Neutral,65,Institutional Support
MCK,90.77,0.03,1.72,123.26,10,0,0,Neutral,70,Strong Institutional Support
MCO,79.22,13.95,1.53,164.75,10,0,0,Neutral,65,Institutional Support
MDLZ,89.27,0.2,2.75,1286.77,10,0,0,Neutral,70,Strong Institutional Support
MDT,88.44,0.29,1.18,1279.69,10,0,0,Neutral,70,Strong Institutional Support
MET,76.81,16.43,1.51,550.33,10,0,0,Neutral,65,Institutional Support
META,79.37,0.06,1.47,2173.38,10,0,0,Neutral,65,Institutional Support
MGM,69.79,25.26,13.24,204.27,10,0,0,Neutral,50,Neutral
MHK,87.08,17.52,5.76,51.13,10,0,0,Neutral,65,Institutional Support
MKC,93.63,0.01,0.0,264.77,10,0,0,Neutral,70,Strong Institutional Support
MKTX,99.93,2.34,8.5,36.42,10,0,0,Neutral,65,Institutional Support
MLM,99.73,0.74,3.3,59.82,10,0,0,Neutral,65,Institutional Support
MMC,91.71,0.07,1.07,489.05,10,0,0,Neutral,70,Strong Institutional Support
MMM,74.31,0.1,1.34,530.43,10,0,0,Neutral,65,Institutional Support
MNST,69.35,28.59,2.73,696.88,10,0,0,Neutral,65,Institutional Support
